date,value
1980-01-01,0.06620000000000001
1980-02-01,0.046200000000000005
1980-03-01,0.0604
1980-04-01,0.0529
1980-05-01,0.057
1980-06-01,0.053099999999999994
1980-07-01,0.0555
1980-08-01,0.0495
1980-09-01,0.042300000000000004
1980-10-01,0.09480000000000001
1980-11-01,0.0667
1980-12-01,0.0661
1981-01-01,0.0684
1981-02-01,0.064
1981-03-01,0.0497
1981-04-01,0.0646
1981-05-01,0.0556
1981-06-01,0.0552
1981-07-01,0.0626
1981-08-01,0.055
1981-09-01,0.0526
1981-10-01,0.050800000000000005
1981-11-01,0.0527
1981-12-01,0.0593
1982-01-01,0.0697
1982-02-01,0.0664
1982-03-01,0.0571
1982-04-01,0.0589
1982-05-01,0.0666
1982-06-01,0.071
1982-07-01,0.0636
1982-08-01,0.059699999999999996
1982-09-01,0.050800000000000005
1982-10-01,0.0444
1982-11-01,0.0529
1982-12-01,0.0781
1983-01-01,0.0864
1983-02-01,0.0786
1983-03-01,0.0734
1983-04-01,0.0658
1983-05-01,0.06480000000000001
1983-06-01,0.09880000000000001
1983-07-01,0.1008
1983-08-01,0.0911
1983-09-01,0.10300000000000001
1983-10-01,0.08869999999999999
1983-11-01,0.0738
1983-12-01,0.0868
1984-01-01,0.09670000000000001
1984-02-01,0.095
1984-03-01,0.0894
1984-04-01,0.0954
1984-05-01,0.09050000000000001
1984-06-01,0.1008
1984-07-01,0.09720000000000001
1984-08-01,0.0935
1984-09-01,0.11750000000000001
1984-10-01,0.10439999999999999
1984-11-01,0.10529999999999999
1984-12-01,0.1198
1985-01-01,0.1176
1985-02-01,0.10869999999999999
1985-03-01,0.10160000000000001
1985-04-01,0.08199999999999999
1985-05-01,0.07200000000000001
1985-06-01,0.0849
1985-07-01,0.10310000000000001
1985-08-01,0.12050000000000001
1985-09-01,0.1112
1985-10-01,0.10619999999999999
1985-11-01,0.13970000000000002
1985-12-01,0.1507
1986-01-01,0.1437
1986-02-01,0.1272
1986-03-01,0.0477
1986-04-01,0.0078000000000000005
1986-05-01,0.013999999999999999
1986-06-01,0.012700000000000001
1986-07-01,0.0171
1986-08-01,0.0355
1986-09-01,0.0172
1986-10-01,0.019
1986-11-01,0.0545
1986-12-01,0.1165
1987-01-01,0.13210000000000002
